"","YEAR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","ACRES_PLANTED","ACRES_HARVESTED","YIELD_BU_ACRE"
"1",2018,"ALABAMA",1,"AUTAUGA",1,1100,1000,165
"2",2018,"ALABAMA",1,"DALLAS",47,5400,5100,137.3
"3",2018,"ALABAMA",1,"ELMORE",51,2200,2200,170.5
"5",2018,"ALABAMA",1,"PERRY",105,6400,6300,145.2
"6",2018,"ALABAMA",1,"BALDWIN",3,7200,7000,152
"7",2018,"ALABAMA",1,"CONECUH",35,900,800,150
"8",2018,"ALABAMA",1,"ESCAMBIA",53,2900,2850,176.8
"9",2018,"ALABAMA",1,"MONROE",99,1700,1650,157.6
"11",2018,"ALABAMA",1,"CALHOUN",15,1300,1300,156.2
"12",2018,"ALABAMA",1,"CULLMAN",43,1500,1350,181.5
"13",2018,"ALABAMA",1,"DE KALB",49,11400,11300,168.3
"14",2018,"ALABAMA",1,"JACKSON",71,22000,21800,155.3
"16",2018,"ALABAMA",1,"COLBERT",33,17000,16800,153.6
"17",2018,"ALABAMA",1,"FRANKLIN",59,2000,1900,100
"18",2018,"ALABAMA",1,"LAUDERDALE",77,19400,19000,165.3
"19",2018,"ALABAMA",1,"LAWRENCE",79,26000,26000,176.9
"20",2018,"ALABAMA",1,"LIMESTONE",83,16500,16200,183.2
"21",2018,"ALABAMA",1,"MADISON",89,25100,24000,159.8
"22",2018,"ALABAMA",1,"MORGAN",103,4800,3900,176.9
"24",2018,"ALABAMA",1,"FAYETTE",57,700,700,124.3
"26",2018,"ALABAMA",1,"RANDOLPH",111,1100,1000,101.5
"27",2018,"ALABAMA",1,"TALLADEGA",121,6400,6250,139.2
"28",2018,"ALABAMA",1,"TUSCALOOSA",125,1500,1500,124.7
"29",2018,"ALABAMA",1,"WALKER",127,700,690,123.2
"30",2018,"ALABAMA",1,"CRENSHAW",41,2000,1900,113.2
"31",2018,"ALABAMA",1,"GENEVA",61,6600,6300,109.5
"32",2018,"ALABAMA",1,"HENRY",67,3500,3450,162.3
"33",2018,"ALABAMA",1,"HOUSTON",69,2300,2000,100
"35",2018,"ARKANSAS",5,"ARKANSAS",1,44900,44500,187
"36",2018,"ARKANSAS",5,"CRITTENDEN",35,16200,16100,175.2
"37",2018,"ARKANSAS",5,"CROSS",37,19800,19600,186.2
"38",2018,"ARKANSAS",5,"LEE",77,36000,35400,168.4
"39",2018,"ARKANSAS",5,"LONOKE",85,38600,38200,185.3
"40",2018,"ARKANSAS",5,"MONROE",95,26900,26500,173.2
"41",2018,"ARKANSAS",5,"PHILLIPS",107,32300,31800,166.7
"42",2018,"ARKANSAS",5,"PRAIRIE",117,19600,19200,191.1
"43",2018,"ARKANSAS",5,"SAINT FRANCIS",123,21500,21300,180.3
"44",2018,"ARKANSAS",5,"WOODRUFF",147,22200,21900,188.1
"45",2018,"ARKANSAS",5,"CLAY",21,29400,28700,189.7
"46",2018,"ARKANSAS",5,"CRAIGHEAD",31,34100,33000,196.4
"47",2018,"ARKANSAS",5,"GREENE",55,16200,15800,176.3
"48",2018,"ARKANSAS",5,"JACKSON",67,15100,14800,177
"49",2018,"ARKANSAS",5,"MISSISSIPPI",93,19700,18400,200
"51",2018,"ARKANSAS",5,"POINSETT",111,25500,24900,197.2
"52",2018,"ARKANSAS",5,"RANDOLPH",121,4300,4200,176.2
"53",2018,"ARKANSAS",5,"WHITE",145,7000,5900,184.7
"55",2018,"ARKANSAS",5,"ASHLEY",3,27300,27100,194.5
"56",2018,"ARKANSAS",5,"CHICOT",17,29200,29000,181.4
"57",2018,"ARKANSAS",5,"DESHA",41,26200,26000,192.3
"58",2018,"ARKANSAS",5,"DREW",43,8000,7900,186.1
"59",2018,"ARKANSAS",5,"JEFFERSON",69,37400,37200,192.7
"60",2018,"ARKANSAS",5,"LINCOLN",79,19400,19200,193.2
"62",2018,"CALIFORNIA",6,"GLENN",21,8200,2500,162
"64",2018,"CALIFORNIA",6,"SACRAMENTO",67,19200,5900,172.9
"65",2018,"CALIFORNIA",6,"SOLANO",95,3700,3400,164.7
"66",2018,"CALIFORNIA",6,"SUTTER",101,6300,4200,210
"67",2018,"CALIFORNIA",6,"YOLO",113,5900,2100,196.7
"72",2018,"CALIFORNIA",6,"SAN JOAQUIN",77,46000,5400,138.9
"73",2018,"CALIFORNIA",6,"STANISLAUS",99,32500,800,150
"77",2018,"COLORADO",8,"ADAMS",1,33000,26700,51.5
"78",2018,"COLORADO",8,"CHEYENNE",17,85300,78600,93.1
"79",2018,"COLORADO",8,"KIOWA",61,35600,31900,66.9
"80",2018,"COLORADO",8,"KIT CARSON",63,244800,219200,121.7
"81",2018,"COLORADO",8,"LINCOLN",73,22900,22100,52.8
"83",2018,"COLORADO",8,"PHILLIPS",95,124900,110000,127.2
"84",2018,"COLORADO",8,"WASHINGTON",121,141200,122700,61.7
"85",2018,"COLORADO",8,"YUMA",125,245100,219400,198.2
"86",2018,"COLORADO",8,"MORGAN",87,78300,38900,164.6
"88",2018,"COLORADO",8,"SEDGWICK",115,67900,62200,129.8
"89",2018,"COLORADO",8,"WELD",123,126500,61600,137.2
"90",2018,"COLORADO",8,"BENT",11,12400,11100,176.2
"91",2018,"COLORADO",8,"OTERO",89,5500,3600,128.3
"93",2018,"COLORADO",8,"PUEBLO",101,5500,3900,137.7
"94",2018,"DELAWARE",10,"KENT",1,52500,51400,149.9
"95",2018,"DELAWARE",10,"NEW CASTLE",3,16500,16400,149.1
"96",2018,"DELAWARE",10,"SUSSEX",5,101000,98200,141.8
"97",2018,"GEORGIA",13,"BLECKLEY",23,3400,3400,186.2
"98",2018,"GEORGIA",13,"DODGE",91,2200,2200,179.5
"99",2018,"GEORGIA",13,"MONTGOMERY",209,900,900,144.4
"101",2018,"GEORGIA",13,"BULLOCH",31,3700,3500,114
"102",2018,"GEORGIA",13,"BURKE",33,12500,9800,191.1
"103",2018,"GEORGIA",13,"JEFFERSON",163,9400,9100,203.2
"104",2018,"GEORGIA",13,"JENKINS",165,2400,2400,189.6
"106",2018,"GEORGIA",13,"SCREVEN",251,5000,4800,164.6
"107",2018,"GEORGIA",13,"HALL",139,700,500,120.8
"109",2018,"GEORGIA",13,"BANKS",11,500,230,92.6
"110",2018,"GEORGIA",13,"HART",147,1000,750,186.7
"112",2018,"GEORGIA",13,"BARTOW",15,2400,2000,156.5
"113",2018,"GEORGIA",13,"CHATTOOGA",55,2100,1400,175.7
"114",2018,"GEORGIA",13,"FLOYD",115,2200,2100,216.7
"115",2018,"GEORGIA",13,"GORDON",129,2800,2700,161.1
"117",2018,"GEORGIA",13,"WHITFIELD",313,600,600,99.2
"118",2018,"GEORGIA",13,"ATKINSON",3,1000,900,134.4
"119",2018,"GEORGIA",13,"BERRIEN",19,5300,5200,151.2
"120",2018,"GEORGIA",13,"BROOKS",27,7200,1700,154.1
